# SS10DB 주요 테이블 목록 (SS10 / SONESP / WMS)
이 자료는 신성통상 메인 DB (SS10DB)의 주요 스키마 테이블 목록을 추출한 것입니다.

| OWNER | TABLE_NAME | NUM_ROWS | TABLE_TYPE | COMMENTS |
| SONESP | CT_SIZE_SPEC_PHOTO | 0 | TABLE |  |
| SONESP | CT_SIZE_SPEC_SIZE | 0 | TABLE |  |
| SONESP | CT_SMAT_PCH_ASK_DETL | 0 | TABLE |  |
| SONESP | CT_SMAT_PCH_ASK_HDR | 0 | TABLE |  |
| SONESP | CT_SPL_COST_DETL | 0 | TABLE |  |
| SONESP | CT_SPL_COST_HDR | 0 | TABLE |  |
| SONESP | CT_STOR_REQ | 0 | TABLE |  |
| SONESP | CT_STYLE | 0 | TABLE |  |
| SONESP | CT_STYLE_AFTPAY_CLOSE_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_CLOSE_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_COLOR_IN_CLOSE | 0 | TABLE |  |
| SONESP | CT_STYLE_COPY | 0 | TABLE |  |
| SONESP | CT_STYLE_COST_CLOSE_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_DAYSUMM_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_DAYSUMM_P_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_INCOST_CLOSE_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_INCOST_DAILY_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_IN_CLOSE | 0 | TABLE |  |
| SONESP | CT_STYLE_MNG_PCS_RATE | 0 | TABLE |  |
| SONESP | CT_STYLE_PAYSUM_CLOSE_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_PAY_CLOSE_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_PAY_MNU_INFO | 0 | TABLE |  |
| SONESP | CT_STYLE_PAY_MNU_INFO_AAA | 0 | TABLE |  |
| SONESP | CT_STYLE_PAY_MNU_INFO_TEMP | 0 | TABLE |  |
| SONESP | CT_STYLE_PCS_RATE_MNG | 0 | TABLE |  |
| SONESP | CT_STYLE_SIZE | 0 | TABLE |  |
| SONESP | CT_STYLE_SIZE_HSCD_SOC | 0 | TABLE |  |
| SONESP | CT_STYLE_SIZE_SOC | 0 | TABLE |  |
| SONESP | CT_STYLE_SOC | 0 | TABLE |  |
| SONESP | CT_STY_PAYKND_DAYSUMM_MNG | 0 | TABLE |  |
| SONESP | CT_SUBPRC_MATS | 0 | TABLE |  |
| SONESP | CT_SUBPRC_MATS_X | 0 | TABLE |  |
| SONESP | CT_SUBPRC_MATS_X1 | 0 | TABLE |  |
| SONESP | CT_SUBPRO_FAB_ADJ_STOCK_DTL | 0 | TABLE |  |
| SONESP | CT_SUBPRO_FAB_ADJ_STOCK_HDR | 0 | TABLE |  |
| SONESP | CT_SUBPRO_FAB_CLOSE_MNG | 0 | TABLE |  |
